Step = 1, Time = 0, Error = 0, Integrated density = 0.999997
Step = 2, Time = 0.00714241, Error = 0, Integrated density = 1
Step = 3, Time = 0.0142848, Error = 0, Integrated density = 0.999999
Step = 4, Time = 0.0214272, Error = 0, Integrated density = 0.999997
Step = 5, Time = 0.0285697, Error = 0, Integrated density = 0.999998
Step = 6, Time = 0.0357121, Error = 0, Integrated density = 0.999999
Step = 7, Time = 0.0428545, Error = 0, Integrated density = 0.999997
Step = 8, Time = 0.0499969, Error = 0, Integrated density = 0.999997
Step = 9, Time = 0.0571393, Error = 0, Integrated density = 0.999997
Step = 10, Time = 0.0642817, Error = 0, Integrated density = 0.999999
Step = 11, Time = 0.0714241, Error = 0, Integrated density = 0.999999
Step = 12, Time = 0.0785666, Error = 0, Integrated density = 0.999997
Step = 13, Time = 0.085709, Error = 0, Integrated density = 0.999997
Step = 14, Time = 0.0928514, Error = 0, Integrated density = 0.999996
Step = 15, Time = 0.0999938, Error = 0, Integrated density = 0.999999
Step = 16, Time = 0.107136, Error = 0, Integrated density = 0.999998
Step = 17, Time = 0.114279, Error = 0, Integrated density = 0.999996
Step = 18, Time = 0.121421, Error = 0, Integrated density = 0.999996
Step = 19, Time = 0.128563, Error = 0, Integrated density = 0.999994
Step = 20, Time = 0.135706, Error = 0, Integrated density = 0.999998
Step = 21, Time = 0.142848, Error = 0, Integrated density = 0.999997
Step = 22, Time = 0.149991, Error = 0, Integrated density = 0.999998
Step = 23, Time = 0.157133, Error = 0, Integrated density = 0.999997
Step = 24, Time = 0.164276, Error = 0, Integrated density = 0.999999
Step = 25, Time = 0.171418, Error = 0, Integrated density = 0.999998
Step = 26, Time = 0.17856, Error = 0, Integrated density = 0.999999
Step = 27, Time = 0.185703, Error = 0, Integrated density = 0.999997
Step = 28, Time = 0.192845, Error = 0, Integrated density = 0.999999
Step = 29, Time = 0.199988, Error = 0, Integrated density = 0.999996
Step = 30, Time = 0.20713, Error = 0, Integrated density = 0.999995
Step = 31, Time = 0.214272, Error = 0, Integrated density = 0.999996
Step = 32, Time = 0.221415, Error = 0, Integrated density = 0.999998
Step = 33, Time = 0.228557, Error = 0, Integrated density = 0.999998
Step = 34, Time = 0.2357, Error = 0, Integrated density = 0.999996
Step = 35, Time = 0.242842, Error = 0, Integrated density = 0.999997
Step = 36, Time = 0.249984, Error = 0, Integrated density = 0.999995
Step = 37, Time = 0.257127, Error = 0, Integrated density = 0.999999
Step = 38, Time = 0.264269, Error = 0, Integrated density = 0.999996
Step = 39, Time = 0.271412, Error = 0, Integrated density = 0.999995
Step = 40, Time = 0.278554, Error = 0, Integrated density = 0.999996
Step = 41, Time = 0.285697, Error = 0, Integrated density = 0.999997
Step = 42, Time = 0.292839, Error = 0, Integrated density = 0.999997
Step = 43, Time = 0.299981, Error = 0, Integrated density = 0.999998
Step = 44, Time = 0.307124, Error = 0, Integrated density = 0.999997
Step = 45, Time = 0.314266, Error = 0, Integrated density = 0.999997
Step = 46, Time = 0.321409, Error = 0, Integrated density = 0.999994
Step = 47, Time = 0.328551, Error = 0, Integrated density = 0.999997
Step = 48, Time = 0.335694, Error = 0, Integrated density = 0.999997
Step = 49, Time = 0.342836, Error = 0, Integrated density = 0.999997
Step = 50, Time = 0.349978, Error = 0, Integrated density = 0.999999
Step = 51, Time = 0.357121, Error = 0, Integrated density = 0.999996
Step = 52, Time = 0.364263, Error = 0, Integrated density = 0.999994
Step = 53, Time = 0.371406, Error = 0, Integrated density = 0.999996
Step = 54, Time = 0.378548, Error = 0, Integrated density = 0.999998
Step = 55, Time = 0.385691, Error = 0, Integrated density = 0.999996
Step = 56, Time = 0.392833, Error = 0, Integrated density = 0.999996
Step = 57, Time = 0.399975, Error = 0, Integrated density = 0.999995
Step = 58, Time = 0.407118, Error = 0, Integrated density = 0.999995
Step = 59, Time = 0.41426, Error = 0, Integrated density = 0.999994
Step = 60, Time = 0.421403, Error = 0, Integrated density = 0.999999
Step = 61, Time = 0.428545, Error = 0, Integrated density = 0.999994
Step = 62, Time = 0.435687, Error = 0, Integrated density = 0.999996
Step = 63, Time = 0.44283, Error = 0, Integrated density = 0.999996
Step = 64, Time = 0.449972, Error = 0, Integrated density = 0.999996
Step = 65, Time = 0.457115, Error = 0, Integrated density = 0.999994
Step = 66, Time = 0.464257, Error = 0, Integrated density = 0.999999
Step = 67, Time = 0.4714, Error = 0, Integrated density = 0.999993
Step = 68, Time = 0.478542, Error = 0, Integrated density = 0.999997
Step = 69, Time = 0.485684, Error = 0, Integrated density = 0.999997
Step = 70, Time = 0.492827, Error = 0, Integrated density = 0.999996
Step = 71, Time = 0.499969, Error = 0, Integrated density = 0.999996
Step = 72, Time = 0.507112, Error = 0, Integrated density = 0.999995
Step = 73, Time = 0.514254, Error = 0, Integrated density = 0.999995
Step = 74, Time = 0.521397, Error = 0, Integrated density = 0.999995
Step = 75, Time = 0.528539, Error = 0, Integrated density = 1
Step = 76, Time = 0.535681, Error = 0, Integrated density = 0.999993
Step = 77, Time = 0.542824, Error = 0, Integrated density = 0.999995
Step = 78, Time = 0.549966, Error = 0, Integrated density = 0.999995
Step = 79, Time = 0.557109, Error = 0, Integrated density = 0.999993
Step = 80, Time = 0.564251, Error = 0, Integrated density = 0.999993
Step = 81, Time = 0.571394, Error = 0, Integrated density = 0.999995
Step = 82, Time = 0.578536, Error = 0, Integrated density = 0.999997
Step = 83, Time = 0.585678, Error = 0, Integrated density = 0.999994
Step = 84, Time = 0.592821, Error = 0, Integrated density = 0.999993
Step = 85, Time = 0.599963, Error = 0, Integrated density = 0.999997
Step = 86, Time = 0.607106, Error = 0, Integrated density = 0.999995
Step = 87, Time = 0.614248, Error = 0, Integrated density = 0.999995
Step = 88, Time = 0.621391, Error = 0, Integrated density = 0.999994
Step = 89, Time = 0.628533, Error = 0, Integrated density = 0.999995
Step = 90, Time = 0.635675, Error = 0, Integrated density = 0.999995
Step = 91, Time = 0.642818, Error = 0, Integrated density = 0.999994
Step = 92, Time = 0.64996, Error = 0, Integrated density = 0.999997
Step = 93, Time = 0.657103, Error = 0, Integrated density = 0.999995
Step = 94, Time = 0.664245, Error = 0, Integrated density = 0.999993
Step = 95, Time = 0.671387, Error = 0, Integrated density = 0.999997
Step = 96, Time = 0.67853, Error = 0, Integrated density = 0.999997
Step = 97, Time = 0.685672, Error = 0, Integrated density = 0.999994
Step = 98, Time = 0.692815, Error = 0, Integrated density = 0.999995
Step = 99, Time = 0.699957, Error = 0, Integrated density = 0.999996
Step = 100, Time = 0.7071, Error = 0, Integrated density = 0.999992
Step = 101, Time = 0.714242, Error = 0, Integrated density = 0.999994
Step = 102, Time = 0.721384, Error = 0, Integrated density = 0.999997
Step = 103, Time = 0.728527, Error = 0, Integrated density = 0.999996
Step = 104, Time = 0.735669, Error = 0, Integrated density = 0.999997
Step = 105, Time = 0.742812, Error = 0, Integrated density = 0.999995
Step = 106, Time = 0.749954, Error = 0, Integrated density = 0.999992
Step = 107, Time = 0.757097, Error = 0, Integrated density = 0.999992
Step = 108, Time = 0.764239, Error = 0, Integrated density = 0.999995
Step = 109, Time = 0.771381, Error = 0, Integrated density = 0.999992
Step = 110, Time = 0.778524, Error = 0, Integrated density = 0.999992
Step = 111, Time = 0.785666, Error = 0, Integrated density = 0.999998
Step = 112, Time = 0.792809, Error = 0, Integrated density = 0.999996
Step = 113, Time = 0.799951, Error = 0, Integrated density = 0.999994
Step = 114, Time = 0.807094, Error = 0, Integrated density = 0.999992
Step = 115, Time = 0.814236, Error = 0, Integrated density = 0.999994
Step = 116, Time = 0.821378, Error = 0, Integrated density = 0.999993
Step = 117, Time = 0.828521, Error = 0, Integrated density = 0.999995
Step = 118, Time = 0.835663, Error = 0, Integrated density = 0.999991
Step = 119, Time = 0.842806, Error = 0, Integrated density = 0.999996
Step = 120, Time = 0.849948, Error = 0, Integrated density = 0.999994
Step = 121, Time = 0.857091, Error = 0, Integrated density = 0.999991
Step = 122, Time = 0.864233, Error = 0, Integrated density = 0.999992
Step = 123, Time = 0.871375, Error = 0, Integrated density = 0.999997
Step = 124, Time = 0.878518, Error = 0, Integrated density = 0.999994
Step = 125, Time = 0.88566, Error = 0, Integrated density = 0.999994
Step = 126, Time = 0.892803, Error = 0, Integrated density = 0.999994
Step = 127, Time = 0.899945, Error = 0, Integrated density = 0.999995
Step = 128, Time = 0.907088, Error = 0, Integrated density = 0.999997
Step = 129, Time = 0.91423, Error = 0, Integrated density = 0.999995
Step = 130, Time = 0.921372, Error = 0, Integrated density = 0.999989
Step = 131, Time = 0.928515, Error = 0, Integrated density = 0.999991
Step = 132, Time = 0.935657, Error = 0, Integrated density = 0.999995
Step = 133, Time = 0.9428, Error = 0, Integrated density = 0.999995
Step = 134, Time = 0.949942, Error = 0, Integrated density = 0.999994
Step = 135, Time = 0.957084, Error = 0, Integrated density = 0.999994
Step = 136, Time = 0.964227, Error = 0, Integrated density = 0.999993
Step = 137, Time = 0.971369, Error = 0, Integrated density = 0.999991
Step = 138, Time = 0.978512, Error = 0, Integrated density = 0.999991
Step = 139, Time = 0.985654, Error = 0, Integrated density = 0.999996
Step = 140, Time = 0.992797, Error = 0, Integrated density = 0.999993
Step = 141, Time = 0.999939, Error = 0, Integrated density = 0.999993
Step = 142, Time = 1.00708, Error = 0, Integrated density = 0.999994
Step = 143, Time = 1.01422, Error = 0, Integrated density = 0.99999
Step = 144, Time = 1.02137, Error = 0, Integrated density = 0.999996
Step = 145, Time = 1.02851, Error = 0, Integrated density = 0.999992
Step = 146, Time = 1.03565, Error = 0, Integrated density = 0.999992
Step = 147, Time = 1.04279, Error = 0, Integrated density = 0.999994
Step = 148, Time = 1.04994, Error = 0, Integrated density = 0.999994
Step = 149, Time = 1.05708, Error = 0, Integrated density = 0.999995
Step = 150, Time = 1.06422, Error = 0.00325797, Integrated density = 0.999996
Step = 151, Time = 1.07136, Error = 0.00325797, Integrated density = 0.999997
Step = 152, Time = 1.07851, Error = 0.00325797, Integrated density = 0.999993
Step = 153, Time = 1.08565, Error = 0.00325797, Integrated density = 0.999994
Step = 154, Time = 1.09279, Error = 0.00325797, Integrated density = 0.999993
Step = 155, Time = 1.09993, Error = 0.00325797, Integrated density = 0.99999
Step = 156, Time = 1.10708, Error = 0.00325797, Integrated density = 0.999994
Step = 157, Time = 1.11422, Error = 0.00325797, Integrated density = 0.999995
Step = 158, Time = 1.12136, Error = 0.00325797, Integrated density = 0.999989
Step = 159, Time = 1.1285, Error = 0.00325797, Integrated density = 0.999989
Step = 160, Time = 1.13565, Error = 0.00325797, Integrated density = 0.999993
